# Program:featureCounts v1.5.2; Command:"featureCounts" "-T" "8" "-t" "exon" "-g" "Parent" "-a" "/home/benjamin/genome_assembly/PST79/FALCON/p_assemblies/v9_1/032017_assembly/Pst_104E_v12_h_ctg.anno.gff3" "-G" "/home/benjamin/genome_assembly/PST79/FALCON/p_assemblies/v9_1/032017_assembly/Pst_104E_v12_h_ctg.fa" "-o" "Pst_104E_v12_h_ctg.in_house.STAR.featureCounts.txt" "-p" "GS_DG_S12412_ATCACG_L001_R1_001Aligned.sortedByCoord.out.bam" "GS_DG_S18112_CGATGT_L001_R1_001Aligned.sortedByCoord.out.bam" "GS_DG_S22312_TTAGGC_L001_R1_001Aligned.sortedByCoord.out.bam" "HE_DG_H17412_TGACCA_L001_R1_001Aligned.sortedByCoord.out.bam" "HE_DG_H1_ACTTGA_L001_R1_001Aligned.sortedByCoord.out.bam" "HE_DG_H2_GATCAG_L001_R1_001Aligned.sortedByCoord.out.bam" "IT0_DG_4_GTGAAA_L001_R1_001Aligned.sortedByCoord.out.bam" "IT0_DG_5_ATCACG_L001_R1_001Aligned.sortedByCoord.out.bam" "IT0_DG_6_ACTTGA_L001_R1_001Aligned.sortedByCoord.out.bam" "IT6_DG_7_TAGCTT_L001_R1_001Aligned.sortedByCoord.out.bam" "IT6_DG_8_GGCTAC_L001_R1_001Aligned.sortedByCoord.out.bam" "IT6_DG_9_TTAGGC_L001_R1_001Aligned.sortedByCoord.out.bam" "IT9_DG_10_GATCAG_L001_R1_001Aligned.sortedByCoord.out.bam" "IT9_DG1_CGATGT_L003_R1_001Aligned.sortedByCoord.out.bam" "IT9_DG2_TGACCA_L003_R1_001Aligned.sortedByCoord.out.bam" "UG_DG_1_ACAGTG_L001_R1_001Aligned.sortedByCoord.out.bam" "UG_DG_2_GCCAAT_L001_R1_001Aligned.sortedByCoord.out.bam" "UG_DG_3_CTTGTA_L001_R1_001Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	GS_DG_S12412_ATCACG_L001_R1_001Aligned.sortedByCoord.out.bam	GS_DG_S18112_CGATGT_L001_R1_001Aligned.sortedByCoord.out.bam	GS_DG_S22312_TTAGGC_L001_R1_001Aligned.sortedByCoord.out.bam	HE_DG_H17412_TGACCA_L001_R1_001Aligned.sortedByCoord.out.bam	HE_DG_H1_ACTTGA_L001_R1_001Aligned.sortedByCoord.out.bam	HE_DG_H2_GATCAG_L001_R1_001Aligned.sortedByCoord.out.bam	IT0_DG_4_GTGAAA_L001_R1_001Aligned.sortedByCoord.out.bam	IT0_DG_5_ATCACG_L001_R1_001Aligned.sortedByCoord.out.bam	IT0_DG_6_ACTTGA_L001_R1_001Aligned.sortedByCoord.out.bam	IT6_DG_7_TAGCTT_L001_R1_001Aligned.sortedByCoord.out.bam	IT6_DG_8_GGCTAC_L001_R1_001Aligned.sortedByCoord.out.bam	IT6_DG_9_TTAGGC_L001_R1_001Aligned.sortedByCoord.out.bam	IT9_DG_10_GATCAG_L001_R1_001Aligned.sortedByCoord.out.bam	IT9_DG1_CGATGT_L003_R1_001Aligned.sortedByCoord.out.bam	IT9_DG2_TGACCA_L003_R1_001Aligned.sortedByCoord.out.bam	UG_DG_1_ACAGTG_L001_R1_001Aligned.sortedByCoord.out.bam	UG_DG_2_GCCAAT_L001_R1_001Aligned.sortedByCoord.out.bam	UG_DG_3_CTTGTA_L001_R1_001Aligned.sortedByCoord.out.bam
evm.model.hcontig_036_008.22	hcontig_036_008	91294	91533	-	240	888	1104	935	112	276	91	0	0	0	46	50	44	296	591	289	300	190	267
evm.model.hcontig_036_008.25	hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008	100619;100733;100951;101246;101484	100655;100858;101085;101377;103315	+;+;+;+;+	2262	1	0	0	4	4	1	0	0	0	3	0	1	7	7	7	0	0	0
evm.model.hcontig_036_008.24	hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008	96112;96218;96439;96624	96126;96377;96559;97137	-;-;-;-	810	239	219	215	7	16	2	0	0	0	0	0	1	445	99	9	177	174	209
evm.model.hcontig_036_008.27	hcontig_036_008	111482	111772	-	291	1	0	0	0	0	0	0	0	0	0	0	0	0	3	1	2	2	0
evm.model.hcontig_036_008.126	hcontig_036_008	538816	539025	+	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.hcontig_036_008.102	hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008	426657;426928;427316;429873;430069;430210;430368;430887;431169;431362;431504;431636	426842;427207;429775;429974;430134;430277;430787;431103;431288;431426;431548;432025	-;-;-;-;-;-;-;-;-;-;-;-	4419	1928	1722	2117	19	57	19	0	1	0	0	0	1	3306	4989	20	323	239	365
evm.model.hcontig_036_008.105	hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008	443187;443368;443704;444062;444252	443287;443568;443966;444177;444332	+;+;+;+;+	762	253	232	276	39	100	23	0	0	0	3	14	5	147	321	119	25	8	22
evm.model.hcontig_036_008.104	hcontig_036_008;hcontig_036_008;hcontig_036_008	438909;439152;439498	439003;439422;439533	+;+;+	402	91	74	95	0	8	0	0	0	0	4	14	8	73	187	115	11	3	10
evm.model.hcontig_036_008.109	hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008	466005;466253;466713;467269;467649	466169;466564;467136;467515;467778	+;+;+;+;+	1278	1715	1805	1795	541	1267	493	0	0	1	454	360	440	1103	4657	2684	1113	1027	849
evm.model.hcontig_036_008.108	hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008	461004;461302;461497;461695;461926;462289;462518;462680;463032;463228;463393;463545;463727;463983;464205	461196;461426;461568;461826;462220;462437;462602;462912;463133;463305;463463;463618;463871;464107;464260	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1935	1707	1467	1757	454	956	351	0	0	0	185	210	170	659	2014	1186	679	445	591
evm.model.hcontig_036_008.8	hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008	31956;32189;32364;32555;32700	32112;32254;32480;32629;32725	+;+;+;+;+	441	1	3	1	10	12	3	0	0	0	1	0	1	4	7	5	1	1	0
evm.model.hcontig_036_008.9	hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008	34623;34788;36117;36352	34695;36045;36281;36847	+;+;+;+	1992	2	5	7	1789	3421	1393	0	0	0	54	21	51	107	553	462	2	1	3
evm.model.hcontig_036_008.1	hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008	4267;4466;4836;5102;5362;5616	4326;4752;4998;5283;5488;5654	-;-;-;-;-;-	858	92	128	108	1	17	1	0	0	0	2	5	2	20	46	21	41	36	49
evm.model.hcontig_036_008.124	hcontig_036_008	515626	515934	-	309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.hcontig_036_008.30	hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008	126202;126293;126516;126715;126827	126216;126452;126636;126756;127838	-;-;-;-;-	1350	1885	2197	2372	2152	6732	2744	3	0	0	529	1300	499	12156	17133	2828	925	861	898
evm.model.hcontig_036_008.31	hcontig_036_008;hcontig_036_008	131468;131679	131593;131990	+;+	438	0	0	0	1	3	0	0	0	0	0	0	0	2	2	0	3	2	3
evm.model.hcontig_036_008.34	hcontig_036_008	148721	149137	+	417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.hcontig_036_008.16	hcontig_036_008;hcontig_036_008	68912;69029	68948;70101	+;+	1110	1	0	3	1	0	0	0	0	0	1	0	3	3	29	20	0	0	0
evm.model.hcontig_036_008.18	hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008	75940;76048;76355;76683;76839;76946;77058;77191;77327;78289;78548;78747	75967;76191;76378;76752;76857;76961;77112;77239;78206;78460;78671;78764	+;+;+;+;+;+;+;+;+;+;+;+	1599	10365	9120	9453	1682	4983	1558	0	0	1	2149	4384	1972	8404	36791	16581	8601	9205	7963
evm.model.hcontig_036_008.19	hcontig_036_008;hcontig_036_008	80346;80425	80354;80742	-;-	327	39	42	41	1	3	0	0	0	0	0	0	0	1	2	1	12	18	17
evm.model.hcontig_036_008.136	hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008	580196;581993;582223;582404;582617;582759;582950	581935;582158;582341;582551;582686;582890;583316	-;-;-;-;-;-;-	2742	2625	2210	2579	67	228	71	0	1	0	85	174	75	730	2986	1062	820	619	899
evm.model.hcontig_036_008.132	hcontig_036_008	569060	570352	+	1293	0	4	6	49	201	74	0	0	0	3	0	0	286	238	14	0	1	0
evm.model.hcontig_036_008.130	hcontig_036_008	556979	557641	-	663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
evm.model.hcontig_036_008.131	hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008	562003;562635;563066;563355;563482;564166;564321;564480;564655;565131;565504;566357	562536;562970;563205;563402;564106;564237;564330;564543;564909;565392;565871;566585	-;-;-;-;-;-;-;-;-;-;-;-	2943	571	657	822	958	3109	1035	0	0	0	31	40	21	2331	3047	365	113	64	124
evm.model.hcontig_036_008.133	hcontig_036_008;hcontig_036_008	571444;571893	571778;572439	-;-	882	132	163	185	14	31	2	0	0	0	12	19	10	114	228	114	48	41	37
evm.model.hcontig_036_008.103	hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008	437754;437849;438015;438140;438271;438390;438762	437759;437936;438059;438165;438294;438673;438855	+;+;+;+;+;+;+	567	76	64	86	0	8	3	0	0	0	12	10	9	80	266	114	9	4	8
evm.model.hcontig_036_008.76	hcontig_036_008;hcontig_036_008;hcontig_036_008	325954;326375;326765	326311;326682;327244	-;-;-	1146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.hcontig_036_008.77	hcontig_036_008	331215	331850	-	636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.hcontig_036_008.75	hcontig_036_008;hcontig_036_008	321824;324270	324174;324690	-;-	2772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.hcontig_036_008.72	hcontig_036_008	312574	313152	-	579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.hcontig_036_008.71	hcontig_036_008	311428	311847	-	420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
evm.model.hcontig_036_008.111	hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008	480558;480660;480857;480949;481174;481309;481466;481649;482315	480566;480765;480872;481017;481225;481387;481544;482209;482330	-;-;-;-;-;-;-;-;-	987	6084	5422	6392	689	1712	632	0	1	4	1146	1652	1057	3880	13886	6756	4218	3640	3612
evm.model.hcontig_036_008.12	hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008	46886;47100;47432;48641	47006;47351;48553;49548	+;+;+;+	2403	0	0	2	1167	1775	966	0	0	0	286	106	201	172	558	904	0	0	1
evm.model.hcontig_036_008.13	hcontig_036_008;hcontig_036_008;hcontig_036_008	50394;50498;50569	50418;50515;50960	-;-;-	435	6052	5401	5401	20	65	32	0	0	1	21	4	19	100	556	248	3245	3136	3229
evm.model.hcontig_036_008.14	hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008	55009;55487;55806;55905;56066;56280;56436;56526;56665;56915;57099;57295	55400;55731;55819;55998;56198;56353;56445;56574;56810;56992;57225;57351	-;-;-;-;-;-;-;-;-;-;-;-	1419	1	3	8	9066	17410	5839	0	0	0	13	71	21	736	1375	341	0	0	0
evm.model.hcontig_036_008.15	hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008	65229;65315;65551;65736	65243;65474;65665;65937	-;-;-;-	492	4	3	6	0	0	0	0	0	0	0	0	0	0	0	0	6	7	8
evm.model.hcontig_036_008.17	hcontig_036_008;hcontig_036_008	73471;73588	73507;74654	+;+	1104	1	2	2	0	0	0	0	0	0	0	1	0	1	19	13	0	0	0
evm.model.hcontig_036_008.55	hcontig_036_008;hcontig_036_008	276879;277343	277248;277368	-;-	396	17	11	15	0	1	1	0	0	0	0	0	0	3	14	6	5	6	5
evm.model.hcontig_036_008.56	hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008	278187;278297;278440;278752;278964;279131	278229;278337;278649;278898;279043;279218	+;+;+;+;+;+	609	19	15	15	1	0	2	0	0	0	2	6	2	13	40	19	15	13	8
evm.model.hcontig_036_008.57	hcontig_036_008	280995	281363	+	369	14	15	15	0	1	0	0	0	0	2	1	0	9	23	6	6	2	2
evm.model.hcontig_036_008.50	hcontig_036_008	231533	232516	-	984	0	0	1	0	3	2	0	0	0	4	0	3	1	6	12	1	0	1
evm.model.hcontig_036_008.51	hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008	234704;234895;235249;235500;235997;236264;236529	234768;235180;235407;235901;236165;236287;236545	-;-;-;-;-;-;-	1122	2323	2623	2744	96	180	80	0	0	0	152	225	142	714	2369	947	1191	783	1053
evm.model.hcontig_036_008.120	hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008	508689;508894;509053;509344	508803;508969;509264;509489	+;+;+;+	549	45	53	59	198	404	195	0	0	1	184	78	158	274	1332	751	21	14	9
evm.model.hcontig_036_008.98	hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008	416069;416525;416672;416799	416460;416582;416715;416931	+;+;+;+	627	1	5	6	169	425	126	0	0	0	3	2	3	16	823	151	3	4	6
evm.model.hcontig_036_008.99	hcontig_036_008;hcontig_036_008;hcontig_036_008	417862;418130;418411	418035;418333;418494	-;-;-	462	310	360	376	224	404	165	0	0	0	192	298	194	705	1878	829	206	177	185
evm.model.hcontig_036_008.90	hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008	379449;379873;380011;380175;380362;380575;380772;381244;381498	379792;379940;380090;380280;380514;380684;381141;381404;381554	+;+;+;+;+;+;+;+;+	1449	3685	3202	4271	634	1666	601	0	1	0	158	258	152	1004	2847	1281	1761	1922	1698
evm.model.hcontig_036_008.91	hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008	382784;382944;383312;383462;383599;383740;383839;384003;384215	382874;383243;383334;383528;383641;383773;383913;384116;384247	+;+;+;+;+;+;+;+;+	780	19	19	31	8	21	55	0	0	0	79	1	69	37	4840	3014	10	10	15
evm.model.hcontig_036_008.92	hcontig_036_008;hcontig_036_008;hcontig_036_008	386238;386658;387094	386483;386867;387201	+;+;+	564	1197	1212	1190	276	794	248	0	0	1	103	153	119	783	1656	684	859	880	841
evm.model.hcontig_036_008.93	hcontig_036_008	394288	394605	+	318	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
evm.model.hcontig_036_008.94	hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008	397676;397857;398064;398143;398404;398582;398795;399015;399172;399358;399512;399804;399984;400133;400661	397797;397967;398073;398336;398521;398730;398938;399081;399282;399430;399722;399909;400054;400590;400737	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2022	4	5	5	6	38	12	0	0	0	0	1	0	8	26	13	2	2	4
evm.model.hcontig_036_008.95	hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008	401274;401655;401911;402095;402375;402690;402824;403026	401594;401848;401987;402298;402588;402745;402915;403274	+;+;+;+;+;+;+;+	1407	785	770	875	50	135	50	0	0	0	45	71	32	301	1143	410	400	329	402
evm.model.hcontig_036_008.96	hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008	405985;406882;407025;407376;407726	406790;406935;407307;407641;408344	-;-;-;-;-	2028	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.hcontig_036_008.97	hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008	411841;412518;412823;413248;413588;413938;414258	412414;412756;413179;413511;413852;414184;415314	+;+;+;+;+;+;+	3003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.hcontig_036_008.2	hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008	9982;10323;10510;10673;11086;11202	10258;10433;10584;11003;11107;11345	+;+;+;+;+;+	960	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
evm.model.hcontig_036_008.3	hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008	12738;12849;12987;13174;13477;14165	12774;12917;13067;13269;14067;15426	+;+;+;+;+;+	2136	2	2	1	202	710	227	0	0	0	42	29	38	66	130	121	0	0	0
evm.model.hcontig_036_008.6	hcontig_036_008;hcontig_036_008;hcontig_036_008	28970;29314;29505	29216;29389;29631	-;-;-	450	1	0	0	76	213	88	0	0	0	113	7	80	63	569	679	0	1	0
evm.model.hcontig_036_008.7	hcontig_036_008;hcontig_036_008	30528;30782	30695;30874	-;-	261	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
evm.model.hcontig_036_008.4	hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008	18652;18754;18918;19087;19461;20421;20516;20651;21097;21274;21462;21585;21694;21892;22094;22255;22456;22583	18684;18840;18994;19384;20331;20432;20574;21016;21200;21384;21492;21617;21785;22010;22177;22366;22506;22628	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2586	2514	2580	2508	801	1454	437	0	0	0	113	242	101	1021	2234	894	1119	1025	1061
evm.model.hcontig_036_008.5	hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008	23761;24553;26685;26765;26962;27164;27550	24487;25261;26695;26885;27071;27479;28309	-;-;-;-;-;-;-	2754	505	494	561	108	242	105	0	0	0	30	43	26	210	594	248	227	211	209
evm.model.hcontig_036_008.64	hcontig_036_008	297949	298506	+	558	37	30	51	5	8	9	0	0	0	0	1	1	10	37	9	3	2	2
evm.model.hcontig_036_008.69	hcontig_036_008;hcontig_036_008	304054;304176	304086;305954	+;+	1812	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
evm.model.hcontig_036_008.127	hcontig_036_008	543671	544039	+	369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.hcontig_036_008.125	hcontig_036_008	531104	531313	+	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.hcontig_036_008.143	hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008	609268;609606;610032;610243	609533;609916;610165;610344	+;+;+;+	813	795	671	828	18	49	11	0	0	0	55	78	33	331	988	459	401	334	379
evm.model.hcontig_036_008.78	hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008	336074;336245;336487;336683;337148	336178;336414;336608;336699;337180	-;-;-;-;-	447	1771	2027	2177	57	206	89	0	0	0	105	79	92	415	1295	563	1123	632	834
evm.model.hcontig_036_008.79	hcontig_036_008;hcontig_036_008;hcontig_036_008	344870;345104;345512	344998;345376;345769	+;+;+	660	0	0	0	9	28	60	0	0	0	40	0	54	29	4732	2907	0	0	0
evm.model.hcontig_036_008.10	hcontig_036_008;hcontig_036_008	37013;39071	38979;39596	+;+	2493	743	696	842	146	458	179	0	0	0	109	206	95	501	1629	716	225	159	210
evm.model.hcontig_036_008.142	hcontig_036_008;hcontig_036_008;hcontig_036_008	603273;603709;604084	603614;603998;604381	+;+;+	930	0	1	0	17	44	28	0	0	0	2	0	3	74	151	32	0	0	0
evm.model.hcontig_036_008.48	hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008	217891;218638;218824;218987;219420;219565;219722;219898;220016	218541;218727;218893;219320;219493;219662;219797;219944;220105	-;-;-;-;-;-;-;-;-	1530	677	739	841	175	551	218	0	1	0	86	77	100	369	1272	567	362	260	315
evm.model.hcontig_036_008.42	hcontig_036_008;hcontig_036_008	192949;193463	193275;193489	+;+	354	818	771	962	4	8	6	0	0	0	24	39	16	111	381	172	214	163	175
evm.model.hcontig_036_008.140	hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008	596144;596463;597343;597666	596404;597257;597502;597670	+;+;+;+	1221	4411	4037	4247	301	749	282	0	0	0	158	186	128	793	3281	1790	1120	973	1291
evm.model.hcontig_036_008.26	hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008	105693;105828;106212;106738;108871;109249;109475	105724;106124;106665;108791;109173;109405;110392	-;-;-;-;-;-;-	4215	1071	873	1196	29	144	37	0	0	0	72	154	56	426	1521	633	605	520	529
evm.model.hcontig_036_008.141	hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008	598029;598257;598427;599441;599656;599875;600295;600540;600988;601198	598201;598348;599357;599574;599807;600225;600464;600900;601072;601502	+;+;+;+;+;+;+;+;+;+	2754	1113	898	1148	110	257	94	0	0	0	94	153	78	612	1397	624	452	489	452
evm.model.hcontig_036_008.58	hcontig_036_008	281725	282108	+	384	18	15	9	0	0	0	0	0	0	2	0	1	6	21	10	5	0	4
evm.model.hcontig_036_008.59	hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008	282211;282374;282558;282832;283158	282265;282439;282731;283058;284486	+;+;+;+;+	1851	77	76	78	4	17	5	0	0	0	4	3	2	39	104	27	13	11	22
evm.model.hcontig_036_008.52	hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008	237497;238218;238687;238849;238985;239091;239265;239738;239867;240030;240151;240390;240533;240768	238146;238601;238782;238902;238999;239195;239571;239775;239940;240074;240293;240444;240630;240800	-;-;-;-;-;-;-;-;-;-;-;-;-;-	2097	4002	4081	4584	74	295	110	0	0	0	89	87	78	963	2864	1176	1879	1520	1684
evm.model.hcontig_036_008.53	hcontig_036_008;hcontig_036_008;hcontig_036_008	249845;250048;250903	249972;250822;252381	-;-;-	2382	510	457	521	340	847	262	0	0	1	110	72	99	269	1164	578	166	135	169
evm.model.hcontig_036_008.128	hcontig_036_008	548131	549591	-	1461	4	1	4	0	2	2	0	0	0	0	0	1	0	3	2	0	0	0
evm.model.hcontig_036_008.63	hcontig_036_008;hcontig_036_008	297079;297250	297173;297382	+;+	228	32	41	49	9	14	5	0	0	0	5	5	4	17	55	19	6	7	5
evm.model.hcontig_036_008.62	hcontig_036_008	290618	291028	-	411	19	23	24	0	0	2	0	0	0	5	3	4	20	77	44	3	6	5
evm.model.hcontig_036_008.101	hcontig_036_008	425312	425716	-	405	24	23	31	2	15	7	0	0	0	0	0	0	22	19	0	10	5	3
evm.model.hcontig_036_008.100	hcontig_036_008;hcontig_036_008;hcontig_036_008	419348;419632;419769	419546;419702;419804	+;+;+	306	1	0	0	1	7	0	0	0	0	0	0	0	2	3	1	0	1	2
evm.model.hcontig_036_008.107	hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008;hcontig_036_008	458325;458693;458960;459237;459629	458593;458831;459084;459506;460031	+;+;+;+;+	1206	162	197	285	595	1206	557	0	0	0	402	294	399	866	2870	1619	169	89	141
evm.model.hcontig_036_008.106	hcontig_036_008	449680	450144	+	465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.hcontig_036_008.41	hcontig_036_008;hcontig_036_008	191200;191428	191292;191835	+;+	501	5255	6881	7011	27	73	48	0	2	0	11	46	11	133	235	120	3190	2811	3236
evm.model.hcontig_036_012.13	hcontig_036_012;hcontig_036_012;hcontig_036_012;hcontig_036_012	54354;54493;54695;55081	54418;54602;55010;55840	-;-;-;-	1251	160	175	180	20	54	23	0	0	0	14	32	12	91	256	116	138	130	124
evm.model.hcontig_036_012.11	hcontig_036_012;hcontig_036_012;hcontig_036_012;hcontig_036_012;hcontig_036_012;hcontig_036_012;hcontig_036_012;hcontig_036_012;hcontig_036_012;hcontig_036_012;hcontig_036_012;hcontig_036_012;hcontig_036_012;hcontig_036_012;hcontig_036_012;hcontig_036_012;hcontig_036_012;hcontig_036_012	46181;46283;46444;46597;46971;47931;48026;48161;48607;48785;48973;49096;49205;49403;49605;49766;49967;50094	46213;46369;46520;46894;47841;47942;48084;48526;48710;48895;49003;49128;49296;49521;49688;49877;50017;50139	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2586	2436	2484	2375	1171	1752	497	0	0	1	106	284	104	1049	2128	989	866	658	794
evm.model.hcontig_036_012.10	hcontig_036_012;hcontig_036_012;hcontig_036_012;hcontig_036_012;hcontig_036_012;hcontig_036_012	40532;40643;40781;40968;41271;41960	40568;40711;40861;41063;41861;43221	+;+;+;+;+;+	2136	24	17	20	379	1138	403	0	0	0	61	26	53	107	190	166	0	1	1
evm.model.hcontig_036_012.16	hcontig_036_012;hcontig_036_012;hcontig_036_012;hcontig_036_012;hcontig_036_012	59536;59769;59942;60133;60278	59692;59834;60058;60207;60303	+;+;+;+;+	441	3	10	4	15	21	16	0	0	0	2	0	2	3	14	9	2	5	8
evm.model.hcontig_036_012.15	hcontig_036_012;hcontig_036_012	58112;58366	58279;58458	-;-	261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
